Year,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
2022,204401426.74,19472489.78,3.25,13.11,339732231.00
2023,234924106.72,18499998.43,3.90,12.53,389858150.00
2024,204781007.08,19600000.00,4.59,13.27,371798713.00
2025,169707768.74,17800000.00,4.00,12.77,310174038.03
