Year,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
2022,82211454,8427181,3.180433333,3.123035833,135367220
2023,117236174,9760000,2.957999537,3.42548088,162815964
2024,103353356,10799812,3.506707861,3.935034166,160640375
2025,100561816.3,11200000,3.226990343,4.01561974,157948713.4
